Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender
977,Platform,Clown Act (Female),Video,No,Yes,No,Yes,1,4,F
978,Platform,Famous Speech (Female),Video,Yes,No,No,Yes,1,4,F
979,Platform,Preaching (Female),Video ,No,No,No,Yes,1,4,F
1000,Scripture,Golden Apple Award,Document ,No,No,No,No,2,2,
1001,Scripture,Golden Lamb Award,Document ,No,No,No,No,2,2,
1002,Scripture,Golden Harp Award,Document ,No,No,No,No,2,2,
1003,Scripture,Christian Soldier Award,Document ,No,No,No,No,2,2,
1004,Scripture,Christian Worker Award,Document ,No,No,No,No,2,2,
1005,Scripture,Silver Apple Award,Document ,No,No,No,No,2,2,
1050,Scripture,Golden Apple Award,Document ,No,No,No,No,2,4,
1051,Scripture,Golden Lamb Award,Document ,No,No,No,No,2,4,
1052,Scripture,Golden Harp Award,Document ,No,No,No,No,2,4,
1053,Scripture,Christian Soldier Award,Document ,No,No,No,No,2,4,
1054,Scripture,Christian Worker Award,Document ,No,No,No,No,2,4,
1055,Scripture,Silver Apple Award,Document ,No,No,No,No,2,4,
1056,Scripture,Bible Memory,Nil,No,No,No,No,2,4,
1057,Scripture,Bible Bowl,Nil,No,No,No,No,2,4,
1058,Scripture,Group Bible Speaking,Video ,No,No,No,Yes,1,4,
